Blank,Type,Model,Asset Status,MAC Address,Serial,Asset Tag,Computer Name,Asset Condition,Delivery Date,Warranty,OS,Asset Remarks,Blank,Blank,Blank,Brand,Active Directory,Country,OS Version,Supplier,Disposal Date
,Laptop,Dell Latitude E5400,In Use,3448ED6AD1C5,GH42433,,PH-LGH42433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5480,In Use,10653062AC04,H53MVP2,RM461888,PH-LH53MVP2,WORKING,2019-07-03,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD263,H9P2433,,PH-LH9P2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED663CA2,HSV2433,,PH-LHSV2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E7438239EB,J5K8YY2,,PH-LJ5K8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E7250,In Stock,847BEB0C7D04,J6QWM72,,PH-LJ6QWM72,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,3448ED6AD309,JNB2433,,PH-LJNB2433,WORKING,2020-06-01,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E5400,In Use,98E743823AFE,JTQ8YY2,,PH-LJTQ8YY2,WORKING,2019-12-02,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Stock,,C12TF2S,,PHRMBON-D000089,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Stock,90b11c83407e,G12TF2S,RM460374,PHRMBON-D000314,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Stock,3417EBB568C6,8KFYQ12,,PHRMBON-D000317,WORKING,HRAM,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Stock,3417EBB56933,GKFYQ12,,PHRMBON-D000318,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Stock,3417EBB600BA,5KFYQ12,,PHRMBON-D000320,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Use,3417EBB7523E,CKFYQ12,,PHRMBON-D000321,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF3AB0,3CJBR42,,PHRMBON-D000322,HAS DEFECTS,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF33F5,2FJBR42,,PHRMBON-D000323,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF2F4D,FJKBR42,,PHRMBON-D000324,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF3170,9CJBR42,RM461026,PHRMBON-D000325,WORKING,2019-03-05,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF7A43,BBJBR42,RM461024,PHRMBON-D000327,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF3B3D,7QJBR42,RM461041,PHRMBON-D000329,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF394B,5RJBR42,RM461028,PHRMBON-D000330,WORKING,2019-05-10,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF2D8F,3MJBR42,,PHRMBON-D000331,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF3901,8PJBR42,,PHRMBON-D000332,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF7B36,CFJBR42,,PHRMBON-D000333,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF32CF,1BJBR42,,PHRMBON-D000334,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF2F31,1HJBR42,,PHRMBON-D000335,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF2DAB,8GJBR42,,PHRMBON-D000336,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF2F58,DMJBR42,,PHRMBON-D000337,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF3516,JCJBR42,,PHRMBON-D000338,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF3B19,FQJBR42,,PHRMBON-D000339,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7020,In Stock,3417EBAF2F30,9LJBR42,,PHRMBON-D000341,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Use,B083FEBA8AE4,72PJH62,,PHRMBON-D000342,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 7010,In Stock,,,,PHRMBON-D000343,,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,B083FEBE247C,72RF862,,PHRMBON-D000344,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,B083FEBE2559,730JH62,,PHRMBON-D000345,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Use,B083FEBE25C7,72NK862,,PHRMBON-D000346,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,,72FZH62,,PHRMBON-D000347,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,64006A2254F4,DQYZG82,RM461181,PHRMBON-D000348,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020 SFF,In Use,64006A225773,DQY5H82,,PHRMBON-D000349,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020 SFF,In Stock,64006A2256A7,DQY7H82,,PHRMBON-D000350,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Use,64006A2254F3,DQY3H82,,PHRMBON-D000351,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020 SFF,In Stock,64006A22568C,DQY0H82,,PHRMBON-D000352,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,64006A2254F1,DQY6H82,,PHRMBON-D000353,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020 SFF,In Stock,64006A2254FA,DQY4H82,RM461178,PHRMBON-D000354,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020 SFF,In Stock,64006A224387,DQWZG82,RM461175,PHRMBON-D000355,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,64006A225500,DQX5H82,,PHRMBON-D000356,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020,In Stock,B083FEBE2BB1,72WKH62,,PHRMBON-D000357,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3020 SFF,In Stock,B083FEBD6E2C,730M862,,PHRMBON-D000358,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Dell Precision 5820,In Use,54BF6490C001,4K1B0T2,,PHRMBON-D000359,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Dell Precision 5820,In Use,54BF6490C5A4,4K070T2,,PHRMBON-D000360,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3060,In Stock,54BF64A2DFCA,D2JS8T2,RM462213,PHRMBON-D000361,WORKING,2019-04-03,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3060,In Stock,54BF64A2E404,D2MV8T2,,PHRMBON-D000362,WORKING,2019-04-04,,,,,Migration,2021-07-12,,,,,,
